,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
644,Roses - Imanbek Remix,0.769,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,audio_features,0zLCBJZSiELJf02ucPP9wb,spotify:track:0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/tracks/0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/audio-analysis/0zLCBJZSiELJf02ucPP9wb,176867,4
645,Head Shoulders Knees & Toes (feat. Norma Jean Martine),0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,audio_features,6i7zAdNhzUN2k1HcrBxPHG,spotify:track:6i7zAdNhzUN2k1HcrBxPHG,https://api.spotify.com/v1/tracks/6i7zAdNhzUN2k1HcrBxPHG,https://api.spotify.com/v1/audio-analysis/6i7zAdNhzUN2k1HcrBxPHG,156960,4
646,Somebody Told Me,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,audio_features,6PwjJ58I4t7Mae9xfZ9l9v,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/tracks/6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/audio-analysis/6PwjJ58I4t7Mae9xfZ9l9v,197200,4
647,You Broke Me First,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4
648,Listen to Your Heart,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,audio_features,1qIKynV6YQZgocodkPdCy7,spotify:track:1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/tracks/1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/audio-analysis/1qIKynV6YQZgocodkPdCy7,328093,4
649,Havana,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
650,Die for Me,0.614,0.66,0,-2.848,1,0.0441,0.19,0.0,0.211,0.452,145.01,audio_features,2C6WXnmZ66tHhHlnvwePiK,spotify:track:2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/tracks/2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/audio-analysis/2C6WXnmZ66tHhHlnvwePiK,245267,4
651,Nhebbek - I Love You,0.709,0.329,0,-12.063,0,0.0407,0.92,0.762,0.205,0.303,119.963,audio_features,4jZAqr6aDFQNULduzGtgxL,spotify:track:4jZAqr6aDFQNULduzGtgxL,https://api.spotify.com/v1/tracks/4jZAqr6aDFQNULduzGtgxL,https://api.spotify.com/v1/audio-analysis/4jZAqr6aDFQNULduzGtgxL,170000,4
652,Space to Bakersfield,0.279,0.652,11,-9.924,0,0.0373,0.143,0.945,0.0993,0.127,74.512,audio_features,4RH3xZ49HzsvNZfaZ9CZii,spotify:track:4RH3xZ49HzsvNZfaZ9CZii,https://api.spotify.com/v1/tracks/4RH3xZ49HzsvNZfaZ9CZii,https://api.spotify.com/v1/audio-analysis/4RH3xZ49HzsvNZfaZ9CZii,544070,4
653,Everything I Am Is Yours,0.873,0.505,4,-11.147,0,0.0308,0.67,0.269,0.136,0.69,110.007,audio_features,281ioxkZbJ3p9hCvjD2bon,spotify:track:281ioxkZbJ3p9hCvjD2bon,https://api.spotify.com/v1/tracks/281ioxkZbJ3p9hCvjD2bon,https://api.spotify.com/v1/audio-analysis/281ioxkZbJ3p9hCvjD2bon,210013,4
654,you were good to me,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,audio_features,4CxFN5zON70B3VOPBYbd6P,spotify:track:4CxFN5zON70B3VOPBYbd6P,https://api.spotify.com/v1/tracks/4CxFN5zON70B3VOPBYbd6P,https://api.spotify.com/v1/audio-analysis/4CxFN5zON70B3VOPBYbd6P,219147,4
655,Power,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,audio_features,2gZUPNdnz5Y45eiGxpHGSc,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc,https://api.spotify.com/v1/audio-analysis/2gZUPNdnz5Y45eiGxpHGSc,292093,4
656,Love You More (Acoustic),0.508,0.489,2,-5.948,1,0.0345,0.791,0.0,0.098,0.355,109.277,audio_features,5n7MPDPwR2XkuxMSrEddCd,spotify:track:5n7MPDPwR2XkuxMSrEddCd,https://api.spotify.com/v1/tracks/5n7MPDPwR2XkuxMSrEddCd,https://api.spotify.com/v1/audio-analysis/5n7MPDPwR2XkuxMSrEddCd,179338,4
657,Love You Anymore,0.693,0.257,6,-7.785,1,0.0356,0.869,0.0,0.11,0.603,90.012,audio_features,7JEUg9KqmpdIE5Nbb9ss66,spotify:track:7JEUg9KqmpdIE5Nbb9ss66,https://api.spotify.com/v1/tracks/7JEUg9KqmpdIE5Nbb9ss66,https://api.spotify.com/v1/audio-analysis/7JEUg9KqmpdIE5Nbb9ss66,182667,4
658,I Can't Take My Eyes Off of You,0.655,0.825,1,-6.203,0,0.055,0.231,0.0,0.117,0.738,114.691,audio_features,4kgKRtDeHmYryhIPOqZws3,spotify:track:4kgKRtDeHmYryhIPOqZws3,https://api.spotify.com/v1/tracks/4kgKRtDeHmYryhIPOqZws3,https://api.spotify.com/v1/audio-analysis/4kgKRtDeHmYryhIPOqZws3,171320,4
659,The First Time Ever I Saw Your Face,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,audio_features,0SxFyA4FqmEQqZVuAlg8lf,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,https://api.spotify.com/v1/tracks/0SxFyA4FqmEQqZVuAlg8lf,https://api.spotify.com/v1/audio-analysis/0SxFyA4FqmEQqZVuAlg8lf,260666,4
660,Mia Fora Thymamai,0.576,0.159,5,-13.502,1,0.0464,0.978,0.000942,0.109,0.465,120.474,audio_features,7042gwq346mwkEoU5q3bbT,spotify:track:7042gwq346mwkEoU5q3bbT,https://api.spotify.com/v1/tracks/7042gwq346mwkEoU5q3bbT,https://api.spotify.com/v1/audio-analysis/7042gwq346mwkEoU5q3bbT,149773,3
661,I Got You (feat Lola Marsh),0.825,0.484,4,-9.095,0,0.0301,0.677,0.00925,0.141,0.557,112.028,audio_features,2rmk4LsLFzVll7ceG3V2wq,spotify:track:2rmk4LsLFzVll7ceG3V2wq,https://api.spotify.com/v1/tracks/2rmk4LsLFzVll7ceG3V2wq,https://api.spotify.com/v1/audio-analysis/2rmk4LsLFzVll7ceG3V2wq,191733,4
662,Laissez-moi danser,0.464,0.117,9,-15.371,0,0.0355,0.935,0.0,0.0863,0.168,134.896,audio_features,4jKlBU99mzdOXjI0hwuN8A,spotify:track:4jKlBU99mzdOXjI0hwuN8A,https://api.spotify.com/v1/tracks/4jKlBU99mzdOXjI0hwuN8A,https://api.spotify.com/v1/audio-analysis/4jKlBU99mzdOXjI0hwuN8A,214680,4
663,Parfum thérémine - Version acoustique,0.632,0.246,6,-12.115,0,0.0284,0.668,0.405,0.102,0.315,100.011,audio_features,78rUKcuPy0AuHNSkn2cFxK,spotify:track:78rUKcuPy0AuHNSkn2cFxK,https://api.spotify.com/v1/tracks/78rUKcuPy0AuHNSkn2cFxK,https://api.spotify.com/v1/audio-analysis/78rUKcuPy0AuHNSkn2cFxK,198972,4
664,Dreaming - Mahogany Sessions,0.374,0.0883,11,-17.902,1,0.0362,0.978,0.453,0.105,0.202,112.166,audio_features,5myjsv8hybpNWNIWtLaW4T,spotify:track:5myjsv8hybpNWNIWtLaW4T,https://api.spotify.com/v1/tracks/5myjsv8hybpNWNIWtLaW4T,https://api.spotify.com/v1/audio-analysis/5myjsv8hybpNWNIWtLaW4T,271581,4
665,We Care So Much,0.331,0.249,10,-9.727,0,0.0324,0.973,0.00401,0.103,0.298,97.637,audio_features,0KdSGzY0aagt6Pt9cIQBh4,spotify:track:0KdSGzY0aagt6Pt9cIQBh4,https://api.spotify.com/v1/tracks/0KdSGzY0aagt6Pt9cIQBh4,https://api.spotify.com/v1/audio-analysis/0KdSGzY0aagt6Pt9cIQBh4,231133,3
666,Closing Time,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,audio_features,1A5V1sxyCLpKJezp75tUXn,spotify:track:1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/tracks/1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/audio-analysis/1A5V1sxyCLpKJezp75tUXn,274160,4
667,When The Night Comes,0.547,0.794,5,-11.047,1,0.0719,0.00238,0.0,0.11,0.532,127.567,audio_features,0hbVxUVb1APB9ESQzXXhFK,spotify:track:0hbVxUVb1APB9ESQzXXhFK,https://api.spotify.com/v1/tracks/0hbVxUVb1APB9ESQzXXhFK,https://api.spotify.com/v1/audio-analysis/0hbVxUVb1APB9ESQzXXhFK,293036,4
668,A Whiter Shade Of Pale - Recorded at Spotify Studios NYC,0.451,0.0531,0,-18.353,1,0.0417,0.961,0.682,0.102,0.124,72.708,audio_features,6AcYLHkLDFn6qcZiPS6xNc,spotify:track:6AcYLHkLDFn6qcZiPS6xNc,https://api.spotify.com/v1/tracks/6AcYLHkLDFn6qcZiPS6xNc,https://api.spotify.com/v1/audio-analysis/6AcYLHkLDFn6qcZiPS6xNc,208889,4
